Time,Original_Signal,Cleaned_Signal,Artifacts_Detected
0.0,0.0137254901960784,-0.5591243877916091,0
0.001,0.0745098039215686,-0.7996636410379396,0
0.002,0.223529411764706,-1.0369200577470694,0
0.003,0.349019607843137,-1.2681604590308926,0
0.004,0.370588235294118,-1.4905301868814893,0
0.005,-0.211764705882353,-1.701069667860298,0
0.006,-0.472549019607843,-1.89684290418657,0
0.007,-0.398039215686274,-2.075143536400959,0
0.008,-0.217647058823529,-2.233715810833684,0
0.009,-0.150980392156863,-2.3709275766680338,0
0.01,-0.137254901960784,-2.4858562805957596,0
0.011,-0.131372549019608,-2.5782794952681583,0
0.012,-0.141176470588235,-2.648583959761469,0
0.013,-0.131372549019608,-2.6976175982286676,0
0.014,-0.141176470588235,-2.726511077990084,0
0.015,-0.131372549019608,-2.736493524110764,0
0.016,-0.141176470588235,-2.7287234520668684,0
0.017,-0.131372549019608,-2.704151734642296,0
0.018,-0.141176470588235,-2.663428819720257,0
0.019,-0.131372549019608,-2.606863657230222,0
0.02,-0.141176470588235,-2.534437037063391,0
0.021,-0.131372549019608,-2.445867427648204,0
0.022,-0.141176470588235,-2.340723075041841,0
0.023,-0.131372549019608,-2.2185702267135756,0
0.024,-0.141176470588235,-2.079144065838213,0
0.025,-0.12156862745098,-1.9225265026242395,0
0.026,-0.131372549019608,-1.7493136043361384,0
0.027,-0.111764705882353,-1.5607553519852029,0
0.028,-0.105882352941176,-1.3588517290408464,0
0.029,-0.0764705882352941,-1.1463919759674648,0
0.03,-0.0568627450980392,-0.9269281862241427,0
0.031,-0.0156862745098039,-0.7046800433826778,0
0.032,0.0078431372549019,-0.4843738885912262,0
0.033,0.0490196078431373,-0.27102576207004764,0
0.034,0.0745098039215686,-0.06968386483370408,0
0.035,0.113725490196078,0.11484956326507804,0
0.036,0.13921568627451,0.27829411140164484,0
0.037,0.158823529411765,0.41714120676233074,0
0.038,0.174509803921569,0.5288562575122827,0
0.039,0.164705882352941,0.61201498710767,0
0.04,0.149019607843137,0.6663622981113689,0
0.041,0.133333333333333,0.6927897916267426,0
0.042,0.109803921568627,0.6932362386636988,0
0.043,0.0941176470588235,0.6705225848316659,0
0.044,0.0843137254901961,0.6281384656399611,0
0.045,0.0686274509803922,0.5700002336379727,0
0.046,0.0745098039215686,0.5002011856688491,0
0.047,0.0490196078431373,0.42277342298938725,0
0.048,0.0588235294117647,0.34147810584137567,0
0.049,0.0490196078431373,0.25963721015019536,0
0.05,0.0686274509803922,0.18001552172794036,0
0.051,0.0627450980392157,0.10475677018719795,0
0.052,0.0745098039215686,0.03537295286049013,0
0.053,0.0686274509803922,-0.027218416080403207,0
0.054,0.0784313725490196,-0.08261777071436265,0
0.055,0.0686274509803922,-0.1308386232377304,0
0.056,0.0784313725490196,-0.17218660734229435,0
0.057,0.0627450980392157,-0.20713504136609107,0
0.058,0.0686274509803922,-0.23620908192645043,0
0.059,0.0529411764705882,-0.2598891655193219,0
0.06,0.0431372549019608,-0.27854233101623427,0
0.061,0.0392156862745098,-0.29238736780778035,0
0.062,0.0333333333333333,-0.3014968115067103,0
0.063,0.0431372549019608,-0.30583587048091104,0
0.064,0.0294117647058824,-0.3053354948383283,0
0.065,0.0392156862745098,-0.29999386003137096,0
0.066,0.0235294117647059,-0.2899973802596469,0
0.067,0.0137254901960784,-0.2758490864859963,0
0.068,-0.0019607843137254,-0.2584892365195554,0
0.069,0.0137254901960784,-0.23939108283709595,0
0.07,-0.0019607843137254,-0.2206145622604106,0
0.071,0.0137254901960784,-0.20480270469329456,0
0.072,-0.0019607843137254,-0.19510966171405275,0
0.073,0.0039215686274509,-0.19505500731133285,0
0.074,-0.0019607843137254,-0.20830600639786634,0
0.075,0.0039215686274509,-0.23839767407507836,0
0.076,-0.0019607843137254,-0.28840942654919327,0
0.077,0.0294117647058824,-0.3606265117153487,0
0.078,0.0941176470588235,-0.4562234269627502,0
0.079,0.249019607843137,-0.5750137388480682,0
0.08,0.374509803921569,-0.7153132598226007,0
0.081,0.384313725490196,-0.8739566508662463,0
0.082,-0.237254901960784,-1.0464861485039525,0
0.083,-0.468627450980392,-1.2274952519424516,0
0.084,-0.352941176470588,-1.4110708585024954,0
